iter	Logloss
0	0.6424285889
1	0.6095066833
2	0.5719768143
3	0.5444643402
4	0.5165991974
5	0.4871262741
6	0.4643086243
7	0.4456130981
8	0.4288293839
9	0.4122422028
10	0.3968149567
11	0.3850184631
12	0.3669644928
13	0.3582276917
14	0.34360672
15	0.333798027
16	0.3263254547
17	0.317845726
18	0.3117263222
19	0.306224041
20	0.2966035843
21	0.2894914627
22	0.2860131073
23	0.2827249527
24	0.2787745094
25	0.2750889397
26	0.2719560623
27	0.2646755028
28	0.2592317772
29	0.2574125862
30	0.2528665924
31	0.2510319328
32	0.2490026855
33	0.2469386673
34	0.2448962021
35	0.2431602859
36	0.2392677116
37	0.2377311707
38	0.2355524254
39	0.2331463814
40	0.2322636795
41	0.2307616043
42	0.22940485
43	0.2281572533
44	0.225582962
45	0.2246103287
46	0.2233543587
47	0.2222954559
48	0.2209754181
49	0.2195657158
50	0.2182752228
51	0.2172150421
52	0.2159867477
53	0.2147465324
54	0.213808403
55	0.2131722641
56	0.2125451851
57	0.2112586212
58	0.2075981522
59	0.2059111404
60	0.2048077393
61	0.2038207626
62	0.2023250198
63	0.2016710472
64	0.200765152
65	0.1998376846
66	0.1976743698
67	0.1968344688
68	0.1954691315
69	0.1937742996
70	0.1934054565
71	0.1932086563
72	0.1925008774
73	0.1918434906
74	0.191352787
75	0.1906350136
76	0.1903590012
77	0.1901603699
78	0.1883215714
79	0.1878980255
80	0.1876467896
81	0.187040863
82	0.1865734863
83	0.1864170456
84	0.1839022827
85	0.1836966896
86	0.1816107941
87	0.1813838196
88	0.1812443924
89	0.1807550621
90	0.1803348923
91	0.1801732445
92	0.176770153
93	0.1762605667
94	0.1761990738
95	0.1760896111
96	0.1759829521
97	0.1751270294
98	0.1729195976
99	0.1723709106
