iter	Passed	Remaining
0	2	202
1	3	169
2	5	174
3	7	171
4	9	180
5	11	186
6	14	189
7	16	194
8	18	186
9	19	178
10	21	172
11	23	170
12	25	170
13	26	164
14	28	161
15	30	160
16	32	157
17	33	153
18	35	149
19	36	146
20	38	143
21	39	140
22	40	137
23	42	134
24	43	131
25	45	128
26	47	128
27	48	125
28	50	123
29	51	120
30	53	118
31	54	116
32	56	114
33	58	113
34	60	111
35	61	109
36	62	107
37	64	105
38	65	103
39	67	101
40	69	99
41	70	97
42	72	95
43	73	93
44	74	91
45	76	89
46	77	87
47	79	85
48	80	83
49	82	82
50	83	80
51	84	78
52	86	76
53	87	74
54	89	73
55	90	71
56	92	69
57	95	69
58	97	67
59	98	65
60	100	64
61	101	62
62	103	60
63	104	58
64	106	57
65	107	55
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	117	43
73	118	41
74	120	40
75	121	38
76	123	36
77	124	35
78	126	33
79	127	31
80	129	30
81	130	28
82	132	27
83	133	25
84	135	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	145	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	155	3
98	156	1
99	158	0
