,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
70,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.74017897 0.72744453 0.72546477 0.73455189],0.7319100396468169,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_0', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__1', 'num__pol__monthly_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__total_charges^2', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.009375618895435306,0.005848863443723607,0.0033768428836871856
69,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.75515959 0.74017376 0.73151851 0.76610686],0.7482396804277003,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__1', 'num__pol__monthly_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__total_charges^2', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.021383098181109565,0.013339580315699005,0.007701610286145454
68,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.74321203 0.74839243 0.74406733 0.75024085],0.7464781585899741,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__1', 'num__pol__monthly_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__total_charges^2', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.004694158675952052,0.0029283926090661787,0.001690708261137269
67,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.74415758 0.75199646 0.74842863 0.74406603],0.7471621771356607,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__1', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__total_charges^2', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.005291533215264702,0.003301057298636495,0.0019058663199781594
66,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.75280025 0.75100669 0.74203249 0.74850284],0.7485855669908811,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__total_charges^2', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.0065396413391127515,0.0040796740556533,0.0023554009142373647
65,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.75843326 0.76081081 0.73869708 0.75040619],0.7520868351898216,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_security_Yes', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.0138473623927296,0.008638505105008198,0.004987443247772439
64,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.75669953 0.75160237 0.73372129 0.75798443],0.7500019061451588,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Bank transfer (automatic)', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.015545585988172623,0.009697920810513405,0.0055990971905295886
63,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69)",[0.75895482 0.73990844 0.73651252 0.76129771],0.7491683725177887,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_No', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.017720237724857615,0.011054550296777987,0.006382347589615029
62,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69)",[0.75469266 0.73566579 0.73437354 0.76470864],0.7473601568586117,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_4', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.02059294537784669,0.012846653299626497,0.007417018740725151
61,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69)",[0.75630024 0.76084983 0.73705541 0.75869005],0.7532238806927676,"('monthly_charges', 'total_charges', 'senior_citizen', 'num__spl__monthly_charges_sp_0', 'num__spl__monthly_charges_sp_1', 'num__spl__monthly_charges_sp_2', 'num__spl__monthly_charges_sp_3', 'num__spl__monthly_charges_sp_4', 'num__spl__monthly_charges_sp_5', 'num__spl__total_charges_sp_1', 'num__spl__total_charges_sp_2', 'num__spl__total_charges_sp_3', 'num__spl__total_charges_sp_5', 'num__q__monthly_charges', 'num__q__total_charges', 'num__rb__monthly_charges', 'num__rb__total_charges', 'num__pol__total_charges', 'num__pol__monthly_charges^2', 'num__pol__monthly_charges total_charges', 'num__pol__monthly_charges^3', 'num__pol__monthly_charges^2 total_charges', 'num__pol__monthly_charges total_charges^2', 'num__pol__total_charges^3', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'cat__gender_Male', 'type_Month-to-month', 'type_One year', 'type_Two year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_DSL', 'internet_service_Fiber optic', 'online_security_No', 'online_backup_No', 'online_backup_Yes', 'device_protection_No', 'device_protection_Yes', 'tech_support_No', 'tech_support_Yes', 'streaming_tv_No', 'streaming_tv_Yes', 'streaming_movies_No', 'streaming_movies_Yes', 'gender_Female', 'gender_Male', 'partner_No', 'partner_Yes', 'dependents_Yes', 'multiple_lines_No', 'multiple_lines_Yes')",0.015184336609680537,0.00947255987087891,0.005468984991366785
