,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(39,)",[0.73525869 0.73042687 0.73793418 0.72147581],0.7312738871157092,"('type_Month-to-month',)",0.010041302395299519,0.006264141830235392,0.0036166039719283984
2,"(36, 39)",[0.79104909 0.7919127  0.79891423 0.79687809],0.7946885279244094,"('cat__internet_service_Fiber optic', 'type_Month-to-month')",0.0052923586488108285,0.0033015722351059703,0.0019061636186874264
3,"(30, 36, 39)",[0.8076841  0.79713082 0.81777196 0.82114904],0.8109339806796511,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'type_Month-to-month')",0.015041450515382127,0.009383422154971397,0.005417521307092635
4,"(30, 36, 39, 50)",[0.8111997  0.81530188 0.81926782 0.83255871],0.8195820278196827,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'type_Month-to-month', 'online_security_No')",0.012850779548415186,0.008016799270784223,0.004628501217026466
5,"(30, 36, 39, 40, 50)",[0.81537991 0.81613688 0.81984586 0.83162397],0.8207466533792217,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'type_Month-to-month', 'type_One year', 'online_security_No')",0.010424903509116831,0.006503446622441705,0.003754766658127081
6,"(30, 36, 39, 40, 42, 50)",[0.81250553 0.82260099 0.81888767 0.83263422],0.8216571047408627,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'type_Month-to-month', 'type_One year', 'paperless_billing_No', 'online_security_No')",0.011692130327632043,0.007293990339756025,0.004211187286124671
7,"(30, 36, 39, 40, 42, 47, 50)",[0.81405067 0.81939495 0.82322814 0.82476176],0.8203588795502709,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'type_Month-to-month', 'type_One year', 'paperless_billing_No', 'payment_method_Mailed check', 'online_security_No')",0.006625794186521498,0.004133419439867566,0.0023864308262811717
8,"(30, 36, 37, 39, 40, 42, 47, 50)",[0.81122571 0.81378534 0.8148167  0.83112665],0.8177385993786963,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'type_Month-to-month', 'type_One year', 'paperless_billing_No', 'payment_method_Mailed check', 'online_security_No')",0.01256637378111638,0.007839376263930987,0.004526065996259317
9,"(19, 30, 36, 37, 39, 40, 42, 47, 50)",[0.80880524 0.81900736 0.81977425 0.83035073],0.8194843965369343,"('num__pol__1', 'num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'type_Month-to-month', 'type_One year', 'paperless_billing_No', 'payment_method_Mailed check', 'online_security_No')",0.012219329152458299,0.007622876781119549,0.004401069961578719
10,"(19, 30, 36, 37, 39, 40, 42, 43, 47, 50)",[0.81365918 0.81158859 0.81977946 0.83152893],0.8191390396847581,"('num__pol__1', 'num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'cat__internet_service_None', 'type_Month-to-month', 'type_One year', 'paperless_billing_No', 'paperless_billing_Yes', 'payment_method_Mailed check', 'online_security_No')",0.01244138764655274,0.007761405215664774,0.004481049390553823
